playerid,namefirst,namelast,currenthandle,countrycode,totalusdprize,game,genre,continent_name,continent_code,country_name,two_letter_country_code,three_letter_country_code,country_number
3883,Peter,Rasmussen,dupreeh,DK,1822989.41,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Denmark, Kingdom of",DK,DNK,208.0
3679,Andreas,Højsleth,Xyp9x,DK,1799288.57,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Denmark, Kingdom of",DK,DNK,208.0
3885,Nicolai,Reedtz,dev1ce,DK,1787489.88,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Denmark, Kingdom of",DK,DNK,208.0
3672,Lukas,Rossander,gla1ve,DK,1652350.75,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Denmark, Kingdom of",DK,DNK,208.0
17800,Emil,Reif,Magisk,DK,1416448.64,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Denmark, Kingdom of",DK,DNK,208.0
16800,Jakey,Yip,Stewie2k,US,1087340.0,Counter-Strike: Global Offensive,First-Person Shooter,North America,UNK,United States of America,US,USA,840.0
12183,Epitácio,de Melo,TACO,BR,1063858.27,Counter-Strike: Global Offensive,First-Person Shooter,South America,SA,"Brazil, Federative Republic of",BR,BRA,76.0
12169,Fernando,Alvarenga,fer,BR,1063038.92,Counter-Strike: Global Offensive,First-Person Shooter,South America,SA,"Brazil, Federative Republic of",BR,BRA,76.0
2455,Gabriel,Toledo,FalleN,BR,1059938.92,Counter-Strike: Global Offensive,First-Person Shooter,South America,SA,"Brazil, Federative Republic of",BR,BRA,76.0
12182,Marcelo,David,coldzera,BR,1021901.46,Counter-Strike: Global Offensive,First-Person Shooter,South America,SA,"Brazil, Federative Republic of",BR,BRA,76.0
10629,Keith,Markovic,NAF,CA,982765.66,Counter-Strike: Global Offensive,First-Person Shooter,North America,UNK,Canada,CA,CAN,124.0
2452,Finn,Andersen,karrigan,DK,964635.39,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Denmark, Kingdom of",DK,DNK,208.0
11788,Jonathan,Jablonowski,ELiGE,US,930696.42,Counter-Strike: Global Offensive,First-Person Shooter,North America,UNK,United States of America,US,USA,840.0
8635,Nick,Cannella,nitr0,US,920151.73,Counter-Strike: Global Offensive,First-Person Shooter,North America,UNK,United States of America,US,USA,840.0
3875,Jesper,Wecksell,JW,SE,897760.68,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Sweden, Kingdom of",SE,SWE,752.0
5001,Olof,Kajbjer,olofmeister,SE,880011.52,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Sweden, Kingdom of",SE,SWE,752.0
3878,Robin,Rönnquist,flusha,SE,877668.95,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Sweden, Kingdom of",SE,SWE,752.0
5000,Freddy,Johansson,KRiMZ,SE,867823.34,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Sweden, Kingdom of",SE,SWE,752.0
20415,Russel,Van Dulken,Twistzz,CA,835376.43,Counter-Strike: Global Offensive,First-Person Shooter,North America,UNK,Canada,CA,CAN,124.0
3888,Dan,Madesclaire,apEX,FR,814852.39,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"France, French Republic",FR,FRA,250.0
3290,Nathan,Schmitt,NBK,FR,805444.66,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"France, French Republic",FR,FRA,250.0
3882,Ladislav,Kovács,GuardiaN,SK,798520.8,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,Slovakia (Slovak Republic),SK,SVK,703.0
10630,Tarik,Celik,tarik,US,780039.21,Counter-Strike: Global Offensive,First-Person Shooter,North America,UNK,United States of America,US,USA,840.0
5483,Håvard,Nygaard,rain,NO,763799.57,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Norway, Kingdom of",NO,NOR,578.0
5783,Nikola,Kovač,NiKo,BA,762802.56,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,Bosnia and Herzegovina,BA,BIH,70.0
8168,Egor,Vasilyev,flamie,RU,732920.07,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,Russian Federation,RU,RUS,643.0
8168,Egor,Vasilyev,flamie,RU,732920.07,Counter-Strike: Global Offensive,First-Person Shooter,Asia,AS,Russian Federation,RU,RUS,643.0
3289,Kenny,Schrub,kennyS,FR,713086.68,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"France, French Republic",FR,FRA,250.0
1511,Daniil,Teslenko,Zeus,UA,689568.7,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,Ukraine,UA,UKR,804.0
8169,Alexander,Kostylev,s1mple,UA,677155.31,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,Ukraine,UA,UKR,804.0
3881,Richard,Papillon,shox,FR,660640.55,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"France, French Republic",FR,FRA,250.0
4998,Janusz,Pogorzelski,snax,PL,653938.44,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Poland, Republic of",PL,POL,616.0
10736,Markus,Kjærbye,Kjaerbye,DK,617000.5,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Denmark, Kingdom of",DK,DNK,208.0
1510,Ioann,Sukharev,Edward,UA,613854.6,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,Ukraine,UA,UKR,804.0
1485,Filip,Kubski,neo,PL,606880.52,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Poland, Republic of",PL,POL,616.0
3951,Chris,de Jong,chrisJ,NL,596748.79,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Netherlands, Kingdom of the",NL,NLD,528.0
1484,Wiktor,Wojtas,TaZ,PL,591510.89,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Poland, Republic of",PL,POL,616.0
4311,Will,Wierzba,Rush,US,586616.0,Counter-Strike: Global Offensive,First-Person Shooter,North America,UNK,United States of America,US,USA,840.0
1488,Jarosław,Jarząbkowski,pashaBiceps,PL,577382.35,Counter-Strike: Global Offensive,First-Person Shooter,Europe,EU,"Poland, Republic of",PL,POL,616.0
